MA,1228,676,597,776,903,983,1031,1080,1142,1193,1091,1065,1086,878,947,934,1017,992,980,997,973,949,912,874,957,960,902,848,844,835,756,721,732,709,670,606,563,562,549,583,530,519,439,500,467,427,458,426,436,386,393,333,328,351,325,278,305,287,241,240,227,201,182,175,146,157,141,130,148,128,114,116,100,93,71,75,80,70,63,42,35,28,20,25,21,16,17,18,8,11,13,11,7,7,4,2,2,1,3,1,,,2,,,,,,,,,,,,,,,
MG,10581,5130,5000,5541,6592,6978,7602,8387,9802,11855,13587,15521,17832,20642,22016,23591,25090,26011,26994,27786,27448,28055,27213,27019,27061,26315,25502,25427,24668,24215,24836,24034,22756,22170,20731,20203,19070,18589,18158,17539,17192,17157,16764,15984,15694,15632,15562,15058,14745,14295,13741,12999,12577,12045,11414,10835,10364,9496,8933,8455,7785,7132,6581,5981,5731,5379,4766,4339,3929,3898,3681,3185,2930,2812,2568,2161,2063,1901,1655,1402,1226,1047,967,774,587,550,442,365,273,230,182,113,104,72,61,49,36,21,24,106,176,14,9,9,5,6,3,4,4,5,10,2,5,6,1,,,2
MS,3043,1826,1594,1740,2009,2102,2299,2519,2783,3168,3401,3730,4294,4676,4923,5325,5448,5569,5662,5811,5688,5663,5717,5518,5616,5492,5381,5303,5237,5151,5070,4929,4834,4492,4484,4371,4209,4187,3864,3901,3799,3758,3682,3581,3608,3459,3283,3311,3120,3231,2967,2800,2813,2696,2534,2412,2222,2036,1954,1804,1716,1598,1488,1350,1283,1233,1187,1128,926,926,857,802,717,695,635,597,507,445,403,347,302,281,256,198,159,124,109,82,65,70,44,35,46,27,25,14,10,11,6,3,3,6,2,1,1,1,1,1,1,,,,,,,,,
MT,4256,2503,2376,2575,2781,2804,2891,3295,3480,3720,3961,4186,4296,4297,4416,4567,4634,4870,4819,4930,4909,4858,4802,4724,4771,4628,4621,4552,4513,4525,4604,4358,4198,4169,4105,3998,3713,3653,3597,3423,3409,3345,3261,3052,3117,2945,2862,2746,2559,2489,2387,2273,2241,2022,1860,1835,1702,1560,1390,1312,1247,1102,1051,973,872,838,782,684,671,664,542,515,502,462,353,376,322,323,257,235,202,144,130,112,99,77,61,45,42,32,25,19,9,16,14,10,4,5,2,2,1,1,,3,1,1,2,1,,,,1,2,,,,,
PA,2556,1417,1343,1478,1714,1886,1938,1975,2070,2173,2402,2418,2592,2606,2805,2936,2981,3149,3223,3158,3186,3090,3095,3262,3153,3222,3150,3032,3106,2932,2976,2853,2574,2586,2358,2314,2133,2089,2115,2009,1957,1872,1781,1683,1652,1580,1529,1481,1434,1398,1322,1266,1235,1151,1092,1012,956,937,865,806,773,699,631,570,610,507,478,428,457,398,397,324,318,287,248,230,195,195,168,167,147,95,95,91,67,52,47,51,45,28,20,16,18,11,12,10,7,3,5,2,10,2,2,1,1,,,1,,1,,1,,,1,,,
PB,1772,1003,770,886,955,1034,1078,1004,1180,1221,1296,1352,1381,1429,1452,1533,1502,1473,1466,1519,1525,1613,1582,1521,1586,1639,1553,1529,1433,1419,1521,1320,1413,1301,1226,1193,1091,1130,1005,1087,961,1014,918,938,934,861,847,800,758,754,720,608,630,566,500,515,465,491,445,416,412,341,379,351,289,302,252,239,239,188,186,187,189,172,147,128,101,108,100,79,81,64,53,66,49,31,31,28,23,17,18,16,8,10,5,4,3,5,,3,,1,,,,,,,,,1,1,,,,,,
PE,6206,3859,3422,3644,3964,4229,4424,4610,4971,5069,5272,5227,5155,4502,4440,4377,4533,4533,4794,5153,5416,5120,5298,5219,5249,5123,4882,5011,4729,4736,4584,4350,4262,4136,3982,3739,3571,3652,3425,3260,3215,2972,2871,2864,2773,2700,2606,2502,2418,2200,2102,1999,1912,1802,1669,1540,1476,1344,1278,1192,1116,1052,953,925,866,778,698,651,573,507,503,414,397,354,335,292,244,243,197,168,182,114,128,106,94,85,68,67,45,35,31,26,24,15,10,10,4,3,3,6,6,8,6,2,3,,1,,,1,3,3,,1,,,,
PI,1143,543,551,634,678,731,821,862,962,924,988,1064,1162,1201,1249,1364,1409,1413,1419,1383,1450,1388,1455,1545,1430,1499,1438,1430,1328,1339,1290,1190,1236,1161,1133,1151,1018,975,874,910,848,853,834,770,765,726,733,736,672,691,685,610,611,565,557,521,526,461,465,431,401,398,363,333,300,301,258,259,230,218,220,186,200,165,151,125,132,97,105,86,75,75,47,60,39,37,32,19,16,11,15,7,9,7,5,2,1,4,1,,1,,2,2,,,,,1,1,1,,,,,,,
PR,5325,3878,3529,3439,3663,3650,3765,3874,4156,4506,5016,5594,5857,6568,7255,7642,7837,7739,8048,8215,7921,7888,7763,7229,7248,6968,6812,6786,6577,6318,6215,6194,5852,5690,5389,5397,5159,4991,4933,4877,4901,4764,4836,4791,4633,4622,4527,4420,4213,3944,3902,3616,3551,3366,3239,3121,3013,2735,2618,2598,2289,2262,2044,1893,1749,1626,1509,1498,1349,1312,1221,1053,974,921,852,726,686,632,526,444,452,351,299,269,209,178,165,122,112,89,56,36,32,27,21,13,11,9,6,9,4,,,2,1,,,,,3,2,,1,1,1,,,
RJ,14182,9088,8106,8633,9292,10453,12182,14313,15541,17008,18879,20728,22268,22512,22635,21967,21570,21332,20813,20823,21510,20366,20593,19861,19873,19659,19246,18870,18825,19020,19327,18269,17970,17127,16429,16314,15487,14804,14424,13979,14267,13093,13247,12949,12651,12640,12131,12381,11955,12039,11485,11024,10728,10360,9833,9421,8680,8359,7754,7221,6686,6057,5556,4971,4560,4210,3750,3477,3149,2843,2772,2446,2266,2026,1955,1697,1551,1430,1224,1040,997,830,728,615,501,403,329,277,224,158,149,103,75,62,66,53,29,24,25,31,21,5,9,4,3,4,8,8,6,4,2,13,1,,1,1,,1
